airport,lat,long
01A,58.10944444,-152.9066667
03A,65.54805556,-161.0716667
04A,68.08333333,-163.1666667
05A,67.57,-148.1838889
06A,57.74527778,-152.8827778
07A,55.55472222,-133.1016667
08A,59.15694444,-151.8291667
09A,59.36277778,-153.4305556
1B1,42.28888889,-73.71027778
1G4,35.99027778,-113.8163889
1N7,40.97111111,-74.9975
8F3,33.62388889,-101.2408333
A01,64.36416667,-147.3613889
A02,57.06666667,-153.9377778
A03,58.4575,-154.0233333
A04,57.27722222,-154.3422222
A05,61.96388889,-151.5558333
A06,65.65555556,-165.3563889
A07,66.76583333,-160.1525
A08,56.59805556,-134.2427778
A09,60.48138889,-146.5822222
KTH,59.95555556,-158.4805556
A11,60.78388889,-159.5402778
A12,60.78527778,-158.8644444
A13,61.39027778,-157.9955556
A14,61.18888889,-159.8583333
A15,70.71861111,-154.3883333
A16,70.74694444,-155.3608333
A17,58.06555556,-153.0725
A18,63.54166667,-150.9938889
A20,70.34416667,-150.9447222
A21,65.85138889,-164.7027778
A22,53.97277778,-166.8569444
A23,59.77611111,-151.9636111
A24,59.33166667,-135.8966667
A25,59.28833333,-136.1738889
A26,68.48333333,-155.7333333
A27,64.44,-144.9363889
A28,57.25388889,-154.4222222
A29,57.32305556,-153.1494444
A30,57.96388889,-153.0583333
A31,58.98277778,-153.1833333
A34,58.36194444,-152.3122222
A36,55.56027778,-131.6555556
A37,61.89888889,-161.4380556
A38,64.09722222,-143.2666667
A39,61.86611111,-141.1597222
A40,71.05694444,-154.7283333
A41,70.57611111,-152.2711111
A42,70.35833333,-153.1966667
A43,57.78083333,-152.3911111
A45,57.81666667,-134.5833333
A46,57.7,-134.2666667
A47,57.61666667,-134.3666667
A48,57.15,-153.15
A49,70.28444444,-152.2119444
A50,58.5625,-152.5961111
A51,64.35277778,-151.275
A52,59.96388889,-152.6822222
A53,64.33333333,-147.5
A54,53.68333333,-166.75
A56,56.03666667,-160.2661111
A57,58.26666667,-157.5333333
A58,64.5,-151.6666667
A59,68.48777778,-155.7575
A61,54.58333333,-164.9125
A62,60.86777778,-157.3919444
A63,65.31111111,-143.1352778
A65,57.53833333,-154.1644444
A66,60.90555556,-149.6238889
A67,57.84944444,-153.1152778
A69,55.74,-162.1252778
A70,57.77416667,-153.5447222
A71,59.73833333,-151.03
A72,59.83333333,-152.5847222
A73,63.7325,-148.9105556
A74,59.24111111,-151.8772222
A75,58.17194444,-152.8941667
A76,58.46444444,-152.5930556
A77,57.34333333,-152.8972222
A78,71.03,-154.4436111
A79,71.50166667,-154.0338889
A80,70.57388889,-155.3213889
A81,70.66277778,-154.8366667
A82,60.69027778,-151.2888889
A83,59.37638889,-150.765
A84,63.75555556,-147.93
A85,61.85944444,-154.2766667
A87,58.58305556,-152.4458333
A89,59.925,-147.5166667
A90,59.03916667,-158.4638889
A91,69.15555556,-163.4972222
A92,69.14805556,-163.5102778
A93,59.79166667,-151.2666667
A94,70.57416667,-155.3180556
A94,70.31194444,-153.2491667
A94,70.98083333,-157.095
A97,68.98555556,-163.4797222
A98,69.17083333,-163.2563889
A99,68.67666667,-162.6469444
AA1,59.95277778,-162.6169444
AA4,59.63333333,-151.2083333
AA5,66.95583333,-155.615
AAE,36.82166667,7.81
AAF,29.7275,-85.0275
AAL,57.09305556,9.85
AAR,56.31027778,10.61805556
ABE,40.65472222,-75.43833333
ABI,32.40944444,-99.67972222
ABJ,5.25555556,-3.92916667
ABL,67.0875,-157.8458333
ABQ,35.04166667,-106.6063889
ABR,45.44972222,-98.42166667
ABY,31.53222222,-84.19611111
ACA,16.75555556,-99.76694444
ACB,44.98472222,-85.19916667
