date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019-1,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",65,15,3.41,0.71,4.33,0,6.56,1,1,601,180,29,129,0,263
2019-1,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",61,18,2.7,1.01,8.93,0,5.37,1,0,890,180,36,383,0,291
2019-1,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",428,80,13.31,5.18,27.42,0,34.09,15,0,3954,705,213,982,0,2054
2019-1,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",174,28,5.97,1.17,11.15,0,9.72,0,0,1655,360,55,268,0,972
2019-1,MQ,Envoy Air,SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",135,23,10.78,0.35,6.54,0,5.33,2,0,835,320,27,192,0,296
2019-1,MQ,Envoy Air,SPI,"Springfield, IL: Abraham Lincoln Capital",53,5,2.91,0,1.09,0,1,2,0,169,100,0,28,0,41
2019-1,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",88,8,2.36,0.22,2.45,0,2.97,6,0,263,98,5,66,0,94
2019-1,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",31,13,1.25,0.55,9.9,0,1.3,2,0,537,41,60,391,0,45
2019-1,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",59,15,3.61,2.07,5.05,0,4.28,7,0,683,205,78,218,0,182
2019-1,MQ,Envoy Air,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",116,16,0,1.69,8.8,0,5.51,16,0,658,0,88,238,0,332
2019-1,MQ,Envoy Air,SWO,"Stillwater, OK: Stillwater Regional",63,4,3.72,0,0.28,0,0,2,0,86,80,0,6,0,0
2019-1,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",119,33,5.95,3.02,18.09,0,5.94,19,0,1618,396,161,760,0,301
2019-1,MQ,Envoy Air,TLH,"Tallahassee, FL: Tallahassee International",197,41,11.03,0.51,15.34,0,14.12,3,1,1963,484,18,507,0,954
2019-1,MQ,Envoy Air,TOL,"Toledo, OH: Toledo Express",80,15,1.28,2.64,6.14,0,4.94,16,0,531,70,87,174,0,200
2019-1,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",83,22,3.19,1.34,11.07,0,6.4,9,0,1017,141,56,444,0,376
2019-1,MQ,Envoy Air,TVC,"Traverse City, MI: Cherry Capital",50,11,1.5,0.3,6.97,0,2.23,7,0,350,34,16,203,0,97
2019-1,MQ,Envoy Air,TXK,"Texarkana, AR: Texarkana Regional-Webb Field",87,8,1.74,0.7,2.75,0,2.81,0,0,377,127,51,107,0,92
2019-1,MQ,Envoy Air,TYR,"Tyler, TX: Tyler Pounds Regional",116,15,4.43,0.98,4.09,0,5.5,1,1,589,176,143,103,0,167
2019-1,MQ,Envoy Air,TYS,"Knoxville, TN: McGhee Tyson",138,27,3.89,0.81,11.56,0,10.74,7,1,1119,111,49,430,0,529
2019-1,MQ,Envoy Air,XNA,"Fayetteville, AR: Northwest Arkansas Regional",344,60,15.6,3.82,22.37,0,18.21,16,0,2603,774,202,895,0,732
2019-1,NK,Spirit Air Lines,ACY,"Atlantic City, NJ: Atlantic City International",298,34,3.22,1.19,17.71,1,10.88,0,1,2774,224,52,1095,39,1364
2019-1,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",690,118,18.84,4.8,71.07,2.57,20.72,6,0,6417,1110,258,3726,53,1270
2019-1,NK,Spirit Air Lines,AVL,"Asheville, NC: Asheville Regional",39,3,0.26,0,0.07,0,2.67,1,0,177,5,0,2,0,170
2019-1,NK,Spirit Air Lines,BDL,"Hartford, CT: Bradley International",168,19,6.37,1,5.77,0.59,5.27,1,0,1655,699,55,157,16,728
2019-1,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",399,70,7.84,2.06,42.67,0,17.43,19,2,6608,391,335,4663,0,1219
2019-1,NK,Spirit Air Lines,BQN,"Aguadilla, PR: Rafael Hernandez",56,9,2.2,0,5.8,0,1,0,0,970,94,0,233,0,643
2019-1,NK,Spirit Air Lines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,92,22.23,1.55,41.83,2.44,23.95,6,0,7266,1520,994,3082,53,1617
